epoch,batch,train_loss,train_accuracy
0,0,3.3938172,0.03125
1,3,3.6092255,0.09375
1,4,3.0397859,0.1875
1,5,3.3781352,0.03125
1,6,2.9077473,0.21875
1,7,3.5317492,0.0625
1,8,3.5563376,0.0625
1,9,3.1982892,0.09375
1,10,3.3661401,0.0
1,11,2.8689613,0.15625
1,12,3.4250333,0.0625
1,13,2.6088586,0.1875
1,14,2.592281,0.15625
1,15,2.8185,0.25
1,16,2.8371089,0.125
1,17,2.7154942,0.125
1,18,2.6602893,0.09375
1,19,2.671311,0.09375
1,20,2.8529146,0.1875
1,21,2.689643,0.125
1,22,2.5310655,0.1875
1,23,2.4997106,0.1875
1,24,2.9314013,0.09375
1,25,2.6153893,0.25
1,26,3.110564,0.15625
1,27,2.6322956,0.125
1,28,2.601433,0.21875
1,29,2.4213338,0.3125
1,30,2.4681556,0.25
1,31,2.3231757,0.40625
1,32,2.5507228,0.15625
1,33,2.4568496,0.1875
1,34,1.9685665,0.3125
1,35,2.3023267,0.3125
1,36,3.019491,0.125
1,37,3.4016328,0.09375
1,38,2.6921718,0.15625
1,39,2.6405406,0.3125
1,40,2.3772204,0.21875
1,41,2.2367647,0.21875
1,42,2.7180731,0.1875
1,43,2.2827785,0.375
1,44,2.5292263,0.0625
1,45,2.4931064,0.1875
1,46,2.4740922,0.15625
1,47,2.5784862,0.09375
1,48,2.2745593,0.40625
1,49,2.0028245,0.34375
1,50,2.4904206,0.25
1,51,2.4450588,0.1875
1,52,2.4134357,0.34375
1,53,2.4211802,0.375
1,54,2.2895694,0.21875
1,55,2.2609,0.28125
1,56,2.2499928,0.3125
1,57,2.555332,0.21875
1,58,2.31397,0.3125
1,59,2.5299568,0.28125
1,60,2.400378,0.28125
1,61,2.0673285,0.375
1,62,2.5259733,0.1875
1,63,2.4212956,0.15625
1,64,2.660995,0.09375
1,65,2.4793496,0.15625
1,66,2.5886548,0.21875
1,67,2.1068277,0.34375
1,68,2.5503252,0.125
1,69,2.6199222,0.1875
1,70,2.3515844,0.1875
1,71,2.422573,0.28125
1,72,2.571206,0.25
1,73,2.2593105,0.21875
1,74,2.292631,0.25
1,75,2.159929,0.28125
1,76,2.0542877,0.46875
1,77,2.15571,0.375
1,78,2.347294,0.28125
1,79,1.8716373,0.375
1,80,2.2803392,0.15625
1,81,2.3930135,0.3125
1,82,2.5402884,0.1875
1,83,1.9473705,0.375
1,84,1.8656436,0.3125
1,85,2.7929862,0.25
1,86,2.66177,0.21875
1,87,2.1926966,0.375
1,88,2.6748223,0.1875
1,89,2.4898956,0.28125
1,90,2.8198013,0.15625
1,91,2.488406,0.1875
1,92,2.3236368,0.21875
1,93,2.2348163,0.28125
1,94,2.4278858,0.1875
1,95,2.299525,0.375
1,96,2.2720332,0.28125
1,97,2.130122,0.25
1,98,2.270123,0.21875
1,99,2.02879,0.3125
1,100,2.0771143,0.21875
1,101,2.8454216,0.125
1,102,2.2261758,0.25
1,103,2.682709,0.21875
1,104,2.4781325,0.125
1,105,2.5536764,0.15625
1,106,2.51541,0.28125
1,107,2.683796,0.15625
1,108,2.1485043,0.21875
1,109,1.9820399,0.40625
1,110,2.142847,0.34375
1,111,2.4334822,0.28125
1,112,2.3474615,0.25
1,113,2.479394,0.125
1,114,2.8350935,0.21875
1,115,2.4615822,0.1875
1,116,2.4991765,0.15625
1,117,2.4779625,0.28125
1,118,4.1319103,0.0
2,119,2.3528383,0.3125
2,120,2.3956094,0.3125
2,121,2.3818974,0.0625
2,122,2.375475,0.1875
2,123,2.3798087,0.21875
2,124,2.6551712,0.1875
2,125,2.4245849,0.15625
2,126,2.2935963,0.25
2,127,2.3507226,0.3125
2,128,1.9751774,0.34375
2,129,2.4655178,0.15625
2,130,2.2112978,0.25
2,131,1.986367,0.3125
2,132,2.1805975,0.28125
2,133,2.1184971,0.375
2,134,2.583516,0.125
2,135,2.4627562,0.15625
2,136,2.1737783,0.28125
2,137,2.4182084,0.28125
2,138,2.1395216,0.3125
2,139,2.3681235,0.3125
2,140,2.1987944,0.28125
2,141,2.5679185,0.3125
2,142,2.2627935,0.3125
2,143,2.2035236,0.21875
2,144,2.1951053,0.28125
2,145,2.5054364,0.28125
2,146,2.5001585,0.1875
2,147,2.1402056,0.4375
2,148,2.1689851,0.34375
2,149,2.0203753,0.375
2,150,2.306574,0.21875
2,151,2.2803783,0.375
2,152,2.2252727,0.28125
2,153,2.2225208,0.28125
2,154,2.2279131,0.25
2,155,2.2398624,0.15625
2,156,1.8015772,0.375
2,157,2.0067077,0.21875
2,158,2.1563528,0.34375
2,159,1.9085582,0.3125
2,160,2.3980956,0.125
2,161,3.0460825,0.1875
2,162,2.3020751,0.21875
2,163,2.2382622,0.25
2,164,2.7469525,0.15625
2,165,2.403289,0.1875
2,166,2.2774484,0.21875
2,167,1.927539,0.25
2,168,2.4070482,0.25
2,169,2.3593729,0.28125
2,170,2.3942964,0.28125
2,171,2.5542006,0.1875
2,172,2.2521698,0.3125
2,173,2.1949022,0.25
2,174,2.1334891,0.375
2,175,2.327595,0.25
2,176,2.298856,0.28125
2,177,2.1902874,0.3125
2,178,2.2285275,0.3125
